ItemName,Price,Href
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)","59,653",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01837343K0AJ0Z9YKN83&url=%2FHP-Laptop-15-6-inch-Windows-15s-fq2535TU%2Fdp%2FB08XNYN5QV%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1621154649%26sr%3D8-1-spons%26psc%3D1&qualifier=1621154649&id=8672962108986913&widgetName=sp_atf
"Acer Nitro 5 Intel Core i7-11th Generation 144 Hz Refresh Rate 15.6-inch (39.62 cms) Gaming Laptop (8GB Ram/1TB SSD/Win10/GTX 1650 Graphics/Obsidian Black/2.2 Kgs), AN515-56 + Xbox Game Pass for PC","84,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06105442MOQRK8P55FJ0&url=%2FAcer-Generation-15-6-inch-Graphics-AN515-56%2Fdp%2FB0923Z27TX%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1621154649%26sr%3D8-2-spons%26psc%3D1&qualifier=1621154649&id=8672962108986913&widgetName=sp_atf
"HP 15 Intel Pentium Gold 6405U Processor Entry Level 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu","25,990",https://www.amazon.in/HP-Pentium-Processor-15-6-inch-15s-du1052tu/dp/B08HJZHTM1/ref=sr_1_5?dchild=1&keywords=Laptop&qid=1621154649&sr=8-5
"AVITA Essential NE14A2INC433-MB 14"" (35.56cms) Laptop (Celeron N4000/4GB/128GB SSD/Window 10 Home in S Mode/Integrated Graphics), Matt Black","17,990",https://www.amazon.in/AVITA-Essential-NE14A2INC433-MB-Integrated-Graphics/dp/B08DDZLCQF/ref=sr_1_6?dchild=1&keywords=Laptop&qid=1621154649&sr=8-6
"Lenovo Ideapad Slim 3 AMD Athlon Silver 3050U 15.6"" (39.62cms) (15.6"")HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Platinum Grey/1.85Kg), 81W100HKIN","28,240",https://www.amazon.in/Lenovo-Ideapad-Windows-Platinum-81W100HKIN/dp/B08CQG6PDK/ref=sr_1_9?dchild=1&keywords=Laptop&qid=1621154649&sr=8-9
"Dell Inspiron 3505 15.6"" FHD Display Laptop (R5-3450U / 8GB / 1TB + 256Gb SSD / Vega Graphics / Win 10 + MSO / Soft Mint Color) D560432WIN9S","49,990",https://www.amazon.in/Dell-Inspiron-R5-3450U-Graphics-D560432WIN9S/dp/B0919HGZXG/ref=sr_1_10?dchild=1&keywords=Laptop&qid=1621154649&sr=8-10
"Lenovo IdeaPad Flex 5 11th Gen Intel Core i3 14-inch FHD IPS 2-in-1 Touchscreen Laptop (8GB/256GB SSD/Win 10/Office 2019/Lenovo Digital Pen Stylus/Fingerprint Reader/Graphite Grey/1.5Kg), 82HS008YIN","50,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0468549204D0CG7DMCBB&url=%2FLenovo-Touchscreen-Fingerprint-Graphite-82HS008YIN%2Fdp%2FB08W9WK8Q9%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1621154649%26sr%3D8-11-spons%26psc%3D1&qualifier=1621154649&id=8672962108986913&widgetName=sp_mtf
"Lenovo Legion 5 AMD Ryzen 5 4600H 15.6 inch (39.62 cms) Full HD IPS Gaming Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/120 Hz/NVIDIA GTX 1650 4GB GDDR6 Graphics/Phantom Black/2.3Kg), 82B500MMIN","66,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08344873JCDQBFV4HSU6&url=%2FLenovo-Windows-Graphics-Phantom-82B500MMIN%2Fdp%2FB08JLR7LPQ%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1621154649%26sr%3D8-12-spons%26psc%3D1&qualifier=1621154649&id=8672962108986913&widgetName=sp_mtf
"LifeDigital ZED AIR CX3 Laptop, 15.6"" (39.62 cms) IPS FHD, Intel® Core™ i3 5005u/4GB RAM/1TB HDD+128GB Storage/Camera/Type-C Data/Win10, Black","24,990",https://www.amazon.in/LifeDigital-Laptop-Intel%C2%AE-CoreTM-Storage/dp/B08HRK3CCX/ref=sr_1_13?dchild=1&keywords=Laptop&qid=1621154649&sr=8-13
"HP Chromebook 14a-na0003TU 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Intel N4020/4GB/64GB SSD + 256GB Expandable/Chrome OS/1.46 kgs Light), Mineral Silver","24,990",https://www.amazon.in/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_14?dchild=1&keywords=Laptop&qid=1621154649&sr=8-14
"Lenovo Ideapad Slim 3 AMD Ryzen 3 15.6 inch (39.62 cms) Full HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Platinum Grey/1.85Kg), 81W10057IN","30,890",https://www.amazon.in/Lenovo-Ideapad-Windows-Platinum-81W10057IN/dp/B087D3JHGB/ref=sr_1_15?dchild=1&keywords=Laptop&qid=1621154649&sr=8-15
"HP 15 AMD Athlon 15.6"" (39.62cms) HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au","26,990",https://www.amazon.in/HP-Athlon-15-6-inch-Silver-3050U-15s-gy0001au/dp/B08HJYFZ14/ref=sr_1_16?dchild=1&keywords=Laptop&qid=1621154649&sr=8-16
"HP 15(2021) 5th Gen Ryzen 5 5500U Laptop with Alexa Built-in, 8GB RAM, 512GB SSD, 15.6-Inch(39.6 cm) FHD Screen, Windows 10, MS Office, (15s-eq2040au)","48,990",https://www.amazon.in/HP-Laptop-15-6-Inch-Windows-15s-eq2040au/dp/B093Q3R1VV/ref=sr_1_17?dchild=1&keywords=Laptop&qid=1621154649&sr=8-17
"HP 15 Thin & Light Ryzen 3-3250 Laptop, 4 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0006au)","31,478",https://www.amazon.in/HP-db1060au-Laptop-Ryzen3-Microsoft-Natural/dp/B083SNGBLF/ref=sr_1_18?dchild=1&keywords=Laptop&qid=1621154649&sr=8-18
"Dell Inspiron 3501 15.6"" (39.62 cms) FHD AG Display Laptop (i3-1005G1 / 8GB / 1TB / Integrated Graphics / Win 10 + MSO / Softmint) D560421WIN9S","39,939",https://www.amazon.in/Dell-Inspiron-i3-1005G1-Integrated-D560421WIN9S/dp/B08X4NB38M/ref=sr_1_19?dchild=1&keywords=Laptop&qid=1621154649&sr=8-19
"HP 14(2021) 10th Gen Intel Core i3 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-Inch(35.6 cm) FHD Screen, Windows 10, MS Office, (14s- dy2501tu)","40,990",https://www.amazon.in/HP-Laptop-14-Inch-Windows-dy2501tu/dp/B093VZC5X9/ref=sr_1_20?dchild=1&keywords=Laptop&qid=1621154649&sr=8-20
"Lenovo IdeaPad Flex 5 AMD Ryzen 5 4500U 14"" FHD IPS 2-in-1 Touchscreen Laptop (8GB/512GB SSD/Win 10/Office/AMD Radeon GFX/Lenovo Digital Pen Stylus/Fingerprint Reader/Graphite Grey/1.5Kg), 81X2004RIN","59,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00322123GJS0O5ES5JSL&url=%2FLenovo-Convertible-Integrated-Graphics-81X2004RIN%2Fdp%2FB087D47T28%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1621154649%26sr%3D8-21-spons%26psc%3D1&qualifier=1621154649&id=8672962108986913&widgetName=sp_btf
"Lenovo Ideapad L340 Intel Core i5 9th Gen 15.6” FHD Gaming (8GB/1TB HDD/Windows 10/NVIDIA GeForce GTX 10503GB GDDR5/Granite Black/2.19kg),81LK01QTIN","49,490",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08662873K64VNMX9DXEC&url=%2FLenovo-Ideapad-Windows-GeForce-81LK01QTIN%2Fdp%2FB092MTLNBB%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1621154649%26sr%3D8-22-spons%26psc%3D1&qualifier=1621154649&id=8672962108986913&widgetName=sp_btf
"Acer Nitro 5 Ryzen 5 4600H 15.6-inch Display Thin and Light Gaming Laptop (16GB RAM/512 GB SSD/Win10/GTX 1650 Graphics/Obsidian Black/2.3 Kgs), AN515-44 + Xbox Game Pass for PC","68,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A068315927YSMTNMBGYA2&url=%2FAcer-15-6-inch-Graphics-Obsidian-AN515-44%2Fdp%2FB092VM8GGF%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1621154671%26sr%3D8-17-spons%26psc%3D1&qualifier=1621154671&id=2948839250075733&widgetName=sp_atf_next
"Lenovo IdeaPad Slim 5 11th Gen Intel Core i5 14"" FHD IPS Thin & Light Laptop (8GB/512GB SSD/Win 10/Office/Intel Iris Xe Graphics/Fingerprint Reader/Graphite Grey/Aluminium Surface/1.39Kg), 82FE00K0IN","57,990",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0435317HX4OAB4G3ZR2&url=%2FLenovo-Graphics-Fingerprint-Aluminium-82FE00K0IN%2Fdp%2FB08WR9PF4K%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3DLaptop%26qid%3D1621154671%26sr%3D8-18-spons%26psc%3D1&qualifier=1621154671&id=2948839250075733&widgetName=sp_atf_next
"Lenovo Ideapad Slim 3 10th Gen Intel Core i3 15.6 inch (39.62 cms) Full HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Platinum Grey/1.85Kg), 81WE00RCIN","33,990",https://www.amazon.in/Lenovo-Ideapad-Windows-Platinum-81WE00RCIN/dp/B08CQ9C48X/ref=sr_1_20?dchild=1&keywords=Laptop&qid=1621154671&sr=8-20
"Dell Inspiron 3505 15.6"" (39.62 cms) FHD AG Display Laptop ( Ryzen3 3250U / 8GB / 1TB / Integrated Graphics / Win 10 + MSO / Accent Black) D560406WIN9BE","34,190",https://www.amazon.in/Dell-Inspiron-Integrated-Graphics-D560406WIN9BE/dp/B08MQ718SY/ref=sr_1_21?dchild=1&keywords=Laptop&qid=1621154671&sr=8-21
"Del Inspiron 3501 15.6"" FHD Display Laptop (11th Gen i5-1135G7 / 8GB / 1TB HDD + 256GB SSD / NVIDIA MX330 2GB GDDR5/ Win 10 + MSO /Soft Mint) D560438WIN9SE","63,000",https://www.amazon.in/Inspiron-Display-Laptop-i5-1135G7-D560438WIN9SE/dp/B08X4NT9SD/ref=sr_1_17?dchild=1&keywords=Laptop&qid=1621154671&sr=8-17
"Dell Inspiron 3505 15.6"" FHD Display Laptop (R3-3250U / 8GB / 1TB HDD / Integrated Graphics / Win 10 + MSO / Soft Mint) D560429WIN9S","35,690",https://www.amazon.in/Dell-Inspiron-3505-Integrated-D560429WIN9S/dp/B093H9FG45/ref=sr_1_18?dchild=1&keywords=Laptop&qid=1621154671&sr=8-18
